
0x0017f05a このままゲームを始める。
0x0081f9a1 ちょっと、ちょっと、誰かー！
0x0081f9be 誰か、いるんでしょ！？
0x0081f9d5 僕らは、侵入者じゃありません！
0x0081f9f4 魔神の封印について、
0x0081fa09 聞きたいんです。
0x0081fa2a ミスリルだ！　ミスリルだ！
0x0081fa45 これで、大金持ちだ！
0x0081fa5a わははは！！
0x0081fa68 すみません。
0x0081fa75 僕は、侵入者じゃありません。
0x0081faa8 ミスリルだ！
0x0081fab5 ミスリルのゴーレムだ！
0x0081facd わぁ！！
0x0081fad6 コイツら、
0x0081fae1 どこから出てきたガウ？
0x0081faf8 オマエら、フーインって、
0x0081fb11 知らないガウか？
0x0081fb38 何か、聞きたいと言って
0x0081fb4f おったな。
0x0081fb5a 何が、聞きたいんじゃ？
0x0081fb8f その値段！！
0x0081fba4 やかましっつーの！！
0x0081fbba 少し…黙ってて下さい。
0x0081fbd2 黙ってろガウ！
0x0081fbe9 ちがうのよ。
0x0081fbf6 封印よ封印1:
0x0081fd30 、魔神の封印。
0x0081fd3f 封印について聞きたいのよ。
0x0081fd5e ちがうんです。
0x0081fd6d 僕のお師匠様が、
0x0081fd7e 魔神を復活させてしまったらしいので、封印のことを教えて
0x0081fdb5 いただきたくて。
0x0081fdca ちがうガウ。
0x0081fdd7 魔神のフーインについて、
0x0081fdf0 教えて欲しいガウ。
0x0081fe10 あれは、わしが若いころに
0x0081fe29 作ったものじゃ。
0x0081fe3a 昔の、そうじゃのー、
0x0081fe4f もうずいぶん昔のことじゃ…。
0x0081fe86  ・。
0x0081fe94 ちょっと、ちょっと！
0x0081fea9 生きてる？
0x0081feb8 あの…、死んでませんよね？
0x0081fed7 オマエ、生きてるガウか？
0x0081ff0d 悠遠の時に身を任せて、
0x0081ff24 思い出の中の幽遠の世界に赴いてしまったようじゃの。
0x0081ff57 ほっほっほっ…。
0x0081ff68 うむうむ。
0x0081ff73 どうやらおまえさんは、
0x0081ff8a 盗賊共とはちがうようじゃの。
0x0081ffaf ブラッキィ…。
0x0081ffbe わかる気がするけど…、
0x0081ffd5 何してんの？
0x0081ffe6 ブラッキィさん…。
0x0081fffd ブラッキィ。
0x0082000a 何やってるガウ。
0x0082002e このゴーレムは、ミスリルで
0x00820049 できてるんだ。
0x00820058 これ一体で、大金になるぞー！！
0x0082007f もう彼には、２度と会いたくないわね。
0x008200a5 ブラッキィさん。　さようなら。
0x008200c4 神様、２度とあの人と
0x008200d9 会いませんように。
0x008200ed ブラッキィ。
0x008200fa さよならガウ。
0x00820143 そんなこと言ったって、あたしは魔法なんか使えないわ。
0x0082017c 飛揚術ですか。
0x0082018b 僕には、まだとても、
0x008201a0 使えませんが。
0x008201b3 スゴーいガウ。
0x008201c2 ドワーフが飛んでるガウ。
0x008201db ヨーシ、オレも。
0x0082020d さぁ、早く。
0x00820222 れ？
0x00820227 見えないのに階段がある。
0x00820244 あれ？
0x0082024b なんだ、透明な階段になって
0x00820266 いるんだ。
0x00820275 なんだこれは、いんちきガウ。
0x00820292 透明な階段があるガウ。
0x008202ca 階段じゃ。
0x008202d5 今じゃ、
0x008202de ガラスともいうかのう。
0x00820315 神の営みじゃ。
0x00820324 かつて、天に牙をむいた者たちがおった。
0x0082034b その者共は、魔の大神と呼ばれておった。
0x00820372 わしらは、大いなる戦いの末、
0x0082038f やつらを封印することに、
0x008203a8 成功した。
0x008203b3 多くの者が命を落した…、
0x008203cc 今では連中の手下に成り下がっておる、ツェイマーなども昔は、
0x00820407 わしらと共に戦った者の一人
0x00820422 じゃった。
0x0082042d 今では魂まで、売り渡したよう
0x0082044a じゃが。
0x0082045b ツェイマー？
0x00820468 そいつなら、あたしがくたばら
0x00820485 せてやったわよ。
0x0082049a ツェイマー…？　ですか？
0x008204b3 その人ならこの下あたりで、
0x008204ce 会いましたけど。
0x008204e3 ツェイマー？
0x008204f0 そいつなら会ったガウ。
0x00820513 ツェイマーと会ったのか！？
0x00820666 大口たたいていたけどね。
0x0082067f 今じゃもう過去の人よ。
0x0082069a はい、いきなり現れて、
0x008206b1 何か言ってましたけど、
0x008206c8 もう倒してしまいました。
0x008206e5 えらそうに言ってたけど、
0x008206fe オレが退治してやったガウ。
0x00820738 倒せるわけがない！！
0x0082074d もしや、あやつ！！
0x00820760 もうここに…。
0x00820796 間抜け剣士くん！！
0x008207a9 $jハーハッハ、案内ごくろう。
0x008207c6 間抜け魔法使いくん！！
0x008207dd $ｃnーハッハ、案内ごくろう。
0x008207fa 間抜けダルマくん！！
0x00820845 いや、ルードゥル。
0x00820868 貴様などにわしの名を呼ばれたくない！
0x00820895 $Sツェイマー！
0x008208a4 $Tあんた、あたしを利用したわね！やられたふりをして、あたしの
0x008208e1 影に隠れていたんだな！！
0x008208fb $nツェイマー、僕を利用したな！
0x0082091a 結界を破るために、僕の影に
0x00820935 隠れていたのか！
0x00820949 なんだ、オマエ生きてたガウか？どこから来たんだガウ？
0x008209c1 $V前々より始末したかったが
0x008209dc ここには強力な結界がはられて
0x008209f9 いたのでね。
0x00820a06 $Wさすがの俺様も、破ることが
0x00820a23 できなかった。
0x00820a39 $oククク、そうともこいつは我らの秘密を知りすぎている。
0x00820a70 $p前々より始末したかったが
0x00820a8b ここには強力な結界がはられて
0x00820aa8 いたのでね。
0x00820ab5 $qさすがの俺様も、破ることが
0x00820ad2 できなかった。
0x00820aea ククク、頭の悪いダルマだぜ。
0x00820b07 こいつは我らの秘密を知りすぎているのでね。
0x00820b34 前々より始末したかったが
0x00820b4d ここには強力な結界がはられて
0x00820b6a いたのでね。
0x00820b94 できなかった。
0x00820bb1 降りてきて勝負するガウ。
0x00820bec おまえの間抜け面見るのも、
0x00820c07 飽き飽きしたぜ！
0x00820c19 $Xだから、あたしを利用したのね！
0x00820c72 飽きてしまったしな。
0x00820c87 $Zここらで、失礼するよ。
0x00820ca1 $[待て！
0x00820caa ツェイマー！！
0x00820cba $rだから、僕を利用したんだな！
0x00820cd9 長老様を離せ！！
0x00820d0c 奴があるか。
0x00820d19 $tいいとも、こいつはしばらく、
0x00820d38 始末せずにおいてやろう。
0x00820d51 $uゲームさ。　面白いだろう？
0x00820d6e おまえが俺を追ってこれれば、こいつをかえしてやる。
0x00820da1 $vククク、貴様の間抜け面を
0x00820dbc 見るのも飽きてしまった。
0x00820dd5 ここらで、失礼するよ。
0x00820df6 $¥大変！
0x00820dff 長老がさらわれちゃったら、
0x00820e1a 封印のことがわからなくなる！
0x00820e38 $wくそ！
0x00820e41 僕がいながら、長老様がさらわれうＺ
0x00820f9b $激Iレは、ダルマなんかじゃないガウ。
0x00820fd9 フーインのことがわからなくなるガウ！
0x0082105d しつこいダルマだぜ。
0x00821073 しつこいガウ。
0x00821082 オレは、ダルマじゃないガウ！
0x008210a0 うるさいわね。かしこかったら、こんなことしてないわよ。
0x008210d8 日和見は、やりたくないんでね。約束通り、長老様をかえして
0x00821111 もらおう。
0x00821158 おまかせあれ。
0x0082116f エリク！
0x00821178 あんたモンスターなんかと、
0x00821193 つるんで恥ずかしくないの！？
0x008211b4 エリク伯！
0x008211bf あなたはモンスターなどと、
0x008211da 手をくんで恥ずかしくないの
0x008211f5 ですか！？
0x00821204 エリク！
0x0082120d オメェ、こいつとグルだったん
0x0082122a だな。
0x00821231 卑怯ガウ！
0x0082126c 報酬の件お忘れなく。
0x00821299 時間はたっぷりある。
0x008212ae 地獄の鬼にでも、使うがいい。
0x008212d5 兵士
0x008212dc うわー！！
0x008212f7 どういうことだ！
0x00821308 裏切ったのか！？
0x00821335 ハハハハハ！
0x00821342 この俺が、お前らごとき、
0x0082135b 下等動物と手をくんでいると
0x00821376 本気で考えていたのか？
0x008213a5 おのれ、ツェイマー！！
0x008213bc ク、クソッ！！
0x008213d3 エリク！
0x008213dc なんとかして、
0x008213eb ここから逃げないと！
0x00821404 エ、エリク伯！
0x00821413 なんとかして
0x00821420 ここから脱出しなければ！
0x0082143d ここから逃げるには、どうすればいいガウ？
0x00821489 他人にはわかるまいが、私は人の為に、理想郷をつくりたかったのだ。
0x008214ca 夢想家と言われようと、
0x008214e1 かまわなかった。
0x008214f2 争いのない、人の為の世界。
0x0082150d そのためにたとえ、他の種族を
0x0082152a 滅ぼしてもそれは正義だと
0x00821543 思った。
0x0082154c そのために力が欲しかった。
0x00821567 だから、だから…、
0x0082157a あんな奴とも手を組んだのだ。
0x00821597 しかし、私のやり方は間違って
0x008215b4 いたかもしれない。
0x008215c7 うわっ！
0x008215d8 エリク！
0x008215e5 エリク伯！
0x008215f4 エリクー！
0x00821610 私にはもう、後悔するひますら、ないようだ。
0x0082163b 健闘を祈る！
0x00821650 うわー！！
0x0082165b どうすればいいのよ！
0x00821670 このままじゃ…
0x00821680 うわー！！
0x0082168b どうすればいいんだ！
0x008216a0 このままじゃ…
0x008216b0 うわー！！
0x008216bb どうすればいいガウ！
0x008216d0 どうするガウ！！
0x008216e9 うわー！！　誰かー！！
0x00821700 たすけてー！！
0x00821710 うわー！！　誰かー！！
0x00821728 うわー！！　誰かー！！
0x0082173f たすけてくれガウ！！
0x00821764 困った時のブラッキィ君だー！
0x00821789 あー！
0x00821851 堺‾
0x008218c0 @ブラッキィ！
0x008218ce 助けてー！
0x008218dd あー！　ブラッキィさん！
0x008218f6 助けてくださーい！
0x0082190d あー！
0x00821914 助けてくれガウー！
0x00821940 向こう側にジャンプしても
0x00821959 届かない…という訳だろ？
0x00821972 ふふふ、
0x0082197b そういう人にはおすすめ！
0x00821994 ブラッキィ印のジャンプ力アップの薬！
0x008219b9 名付けて！　『トベルタカーイ』今なら有り金全部と交換中！
0x008219fa なんでもいいから、
0x00821a0d はやくちょうだいよ！！
0x00821a28 はやくしてくださーい！！
0x00821a45 なんでもいいガウ、
0x00821a58 はやくくれガウ。
0x00821a8a あぶないじゃない！
0x00821a9d まったくどこ投げてんのよ！
0x00821abc あぶないじゃないですか！
0x00821ad5 ブラッキィさん！
0x00821ae6 まったくどこ投げてるんですか！
0x00821b09 あぶなかったガウ。
0x00821b1c まったくどこ投げてるんだガウ！
0x00821b58 さぁ、とにかくそれを飲んで、
0x00821b75 こっちへ来るんだ。
0x00821b90 ありがとう！
0x00821b9d ブラッキィ！！
0x00821bad ありがとうございます。
0x00821bc4 ブラッキィさん！！
0x00821bd8 ブラッキィ！
0x00821be5 サンキューガウ！！
0x00821c00 ふー、助かった。
0x00821c15 あー、助かった。
0x00821c2a ふー、助かったガウ。
0x00821c4d はやくー！
0x00821c58 お金くれ、よー！！
0x00821c6b おーい！
0x00821c74 うまくいったろー！
0x00821c87 お金くれよー！！
0x00821ca8 はやくー！
0x00821cb3 お金くれ、よー！！
0x00821cd3 ツェイマー、エリク伯のかたき
0x00821cf0 とらせてもらう！
0x00821d02 ツェイマー、あなたはウソを
0x00821d1d つきましたね。
0x00821d2c 僕にも、エリク伯にも。
0x00821d43 伯のかたきは、
0x00821d52 うたせてもらいます。
0x00821d81 しぶといなおまえ。
0x00821d95 ゆるさないガウ。
0x00821da6 オマエは、絶対オレが倒して
0x00821dc1 やるガウ！！
0x00821ddd この前は手加減してやったのだ。
0x00821dfc この俺様が、ダルマごときに
0x00821e17 負けると思うか！！
0x00821e36 貴様に、この俺様が倒せるかな？
0x00821e8f 愚かなやつよ。
0x00821e9e いくぞ！
0x00821ea7 今度こそ、貴様の最後だ！

0x008479ce ショートソード　軽量で扱いやすい剣。しかし、殺傷能力は低い。
0x00847a0c ロングソード　　長さ１ｍほどの長剣。化物の多い洞窟内では必需品。
0x00847a4e ファルシオン　　鋼鉄でできた大きめの剣。攻撃力はなかなかのもの。
0x00847a90 フレイムソード　炎でつくられた剣その使いやすさと殺傷能力は保証付
0x00847ad2 ライトセイバー　現存する剣の中で最強を誇る剣。
0x00847b02 ファイアの魔法　進行方向へ連射できる。どんな場所でも有効である。
0x00847b44 ファイア　ＤＸ　ファイアの魔法が３つに分裂する。
0x00847b76 サンダーの魔法　雷の槍が敵を　　貫通
0x00847b9c ホーミング　　　最高６個の弾が敵を追う。ただし効かない敵もいる。
0x00847bde フォース　　　　自らの魔力を弾にして敵に放つ。
0x00847c0e ファイアボール　体内にためた炎を吹き出す。
0x00847c3a テイルアタック　強力な回転と尻尾で敵に大きなダメージをあたえる。
0x00847c7c アックス　　　　敵を一刀両断に　切り裂く強力な　武器。
0x00847cb4 アイアンクロー　鋭い爪で敵を切り刻む。
0x00847cdc ファイアブレス　体内にためた力を一気に放つ。　　威力絶大
0x00847d16 レザーアーマー　馬の革を何枚も重ねてある。　　　防御能力は低い。
0x00847d58 チェーンメイル　鎖で編まれていて丈夫にできている役にたつだろう。
0x00847d9a プレートメイル　鋼鉄でできてるので重いが多少の攻撃なら充分戦える
0x00847ddc ミスリルアーマー数多くの敵と闘うにはこれくらいの鎧は必要である。
0x00847e1e ゴールドアーマー現代の技術では最高の強度を持つ鎧である。
0x00847e58 レッドローブ　　魔法使いのマント
0x00847e7a ブルーローブ　　魔法使いのマント
0x00847e9c イエローローブ　魔法使いのマント
0x00847ebe シルバーローブ　魔法使いのマント
0x00847ee0 ゴールドローブ　魔法使いのマント
0x00847f02 ウッドシールド　木製なので軽く

0x00848050 て動きやすいが防御能力は低い。
0x00848070 スモールシールドウッドシールドより少し小さいがなかなか丈夫である
0x008480b2 ラージシールド　スモールシールドと同じ材質の少し大きめの盾。
0x008480f0 ミスリルシールドこの盾は敵の攻撃を防ぐには充分な効力を持っている
0x00848132 ゴールドシールドこの盾は最強の盾といえるだろう。
0x00848164 ブロンズミラー　魔法の力で敵の攻撃を跳ね返す。
0x00848194 メタルミラー　　魔法の力で敵の攻撃を跳ね返す。
0x008481c4 プラチナミラー　魔法の力で敵の攻撃を跳ね返す。
0x008481f4 ミスリルミラー　魔法の力で敵の攻撃を跳ね返す。
0x00848224 ゴールドミラー　魔法の力で敵の攻撃を跳ね返す。
0x00848254 無敵　　　　　　一定時間無敵！！
0x00848276 ヘルメット　　　一定時間上空からの攻撃を防ぐことができる。
0x008482b2 スパイクブーツ　氷の上でも滑らない。
0x008482d8 石靴　　　　　　トゲの上でも平気で歩ける。ただしジャンプ力下がる
0x0084831a ツルハシ
0x0084832c ダガー　　　　　投げナイフ。
0x0084834a ブーメラン　　　回転しながら手元にもどってくる、武器。
0x00848382 オレンジ　　　　体力が２０回復する。
0x008483a8 チェリー　　　　体力が５０回復する。
0x008483ce リンゴ　　　　　体力が完全回復する。
0x008483f4 金塊
0x00848406 エリクサー　　　復活剤。
0x00848420 ブーメランＤＸ　ブーメランのパワーアップ型。

0x008497f9 アイアンソード
0x0084980a プラズマブレードPウォータービームPロッククラッシュ@アイアンアーマー
0x0084984e プラズマアーマーPアクアローブ　　Pバトルアーマー　@アイアンシールド

0x00863039 いらっしゃいませご用件は？
0x0086305a 　買う
0x00863061 　　売る
0x0086306c 　治療
0x00863073 　　説明
0x0086307d 他にも何かご用がございますか？
0x0086309e 　買う
0x008630a5 　　売る
0x008630b0 　治療
0x008630b7 　　説明
0x008630c3 どれをお求めに　なりますか？
0x008630e1 　でよろしい　　　　　　ですか？
0x00863102 　ＹＥＳ
0x0086310e ＮＯ
0x00863114 あなたはそのアイテムをこれ以上持てません。
0x00863140 お金が足りません
0x00863154 ありがとうございました。
0x0086316e 何を売っていただけますか？
0x0086318a になります。
0x0086319b 　ＹＥＳ
0x008631a7 ＮＯ
0x008631ad これ以上　売れるものがありません
0x008631cf 治療に　　　　　ゴールド必要です治療しますか？
0x00863200 　ＹＥＳ
0x0086320c ＮＯ
0x00863212 どこにも異常は　ないようです。
0x00863232 お大事に‥‥。

0x008ccab9 いらっしゃいませご用件は？
0x008ccada 　買う
0x008ccae1 　　売る
0x008ccaec 　治療
0x008ccaf3 　　説明
0x008ccafd 他にも何かご用がございますか？
0x008ccb1e 　買う
0x008ccb25 　　売る
0x008ccb30 　治療
0x008ccb37 　　説明
0x008ccb43 どれをお求めに　なりますか？
0x008ccb61 　でよろしい　　　　　　ですか？
0x008ccb82 　ＹＥＳ
0x008ccb8e ＮＯ
0x008ccb94 あなたはそのアイテムをこれ以上持てません。
0x008ccbc0 お金が足りません
0x008ccbd4 ありがとうございました。
0x008ccbee 何を売っていただけますか？
0x008ccc0a になります。
0x008ccc1b 　ＹＥＳ
0x008ccc27 ＮＯ
0x008ccc2d これ以上　売れるものがありません
0x008ccc4f 治療に　　　　　ゴールド必要です治療しますか？
0x008ccc80 　ＹＥＳ
0x008ccc8c ＮＯ
0x008ccc92 どこにも異常は　ないようです。
0x008cccb2 お大事に‥‥。

0x008e3c0d ツェイマー
0x008e3c22 ｡来たか。
0x008e3c2c 遅かったな。
0x008e3c39 俺様の本当の姿を見るがいい！！これが、あのお方からいただいた力だ。
0x008e3c7c いくぞ！
0x008e3c87 ｡私の強さを恐れて逃げたくせに、再び、戻ってくるとは。
0x008e3cbd いくぞ！
0x008e3cc6 今度こそこの溶岩に貴様の屍を
0x008e3ce3 沈めてやる！

0x009d5a7c メイル
0x009d5a88 タット
0x009d5a94 ガウ

0x009d6412 　　　　　　　　　　　　ゴールド

0x009d6bf8 治療に　　　　　ゴールド必要です治療しますか？
0x009d6c29 　ＹＥＳ
0x009d6c35 ＮＯ
0x009d6c3b どこにも異常は　ないようです。
0x009d6c5b お大事に‥‥。

0x009d7238 ショートソード　軽量で扱いやすい剣。しかし、殺傷能力は低い。
0x009d7276 ロングソード　　長さ１ｍほどの長剣。化物の多い洞窟内では必需品。
0x009d72b8 ファルシオン　　鋼鉄でできた大きめの剣。攻撃力はなかなかのもの。
0x009d72fa フレイムソード　炎でつくられた剣その使いやすさと殺傷能力は保証付
0x009d733c ライトソード　　現存する剣の中で最強を誇る剣。
0x009d736c ファイアの魔法　進行方向へ連射できる。どんな場所でも有効である。
0x009d73ae ファイア　ＤＸ　ファイアの魔法が３つに分裂する。
0x009d73e0 サンダーの魔法　雷の槍が敵を　貫通
0x009d7404 ホーミング　　　最高６個の弾が敵を追う。ただし効かない敵もいる。
0x009d7446 フォース　　　　自らの魔力を弾にして敵に放つ。
0x009d7476 ファイアボール　体内にためた炎を吹き出す。
0x009d74a2 テイルアタック　強力な回転と尻尾で敵に大きなダメージをあたえる。
0x009d74e4 アックス　　　　敵を一刀両断に　切り裂く強力な　武器。
0x009d751c アイアンクロー　鋭い爪で敵を切り刻む。
0x009d7544 ファイアブレス　体内にためた力を一気に放つ。　　威力絶大
0x009d757e レザーアーマー　馬の革を何枚も重ねてある。　　　防御能力は低い。
0x009d75c0 チェーンメイル　鎖で編まれていて丈夫にできている役にたつだろう。
0x009d7602 プレートメイル　鋼鉄でできてるので重いが多少の攻撃なら充分戦える
0x009d7644 ミスリルアーマー数多くの敵と闘うにはこれくらいの鎧は必要である。
0x009d7686 ゴールドアーマー現代の技術では最高の強度を持つ鎧である。
0x009d76c0 レッドローブ　　魔法使いのマント
0x009d76e2 ブルーローブ　　魔法使いのマント
0x009d7704 イエローローブ　魔法使いのマント
0x009d7726 シルバーローブ　魔法使いのマント
0x009d7748 ゴールドローブ　魔法使いのマント
0x009d776a ウッドシールド　木製なので軽くて動きやすいが防御能力は低い。
0x009d77a8 スモールシールドウッドシールドより少し小さいがなかなか丈夫である
0x009d77ea ラージシールド　スモールシールドと同じ材質の少し大きめの盾。
0x009d7828 ミスリルシールドこの盾は敵の攻撃を防ぐには充分な効力を持っている
0x009d786a ゴールドシールドこの盾は最強の盾といえるだろう。
0x009d789c ブロンズミラー　魔法の力で敵の攻撃を跳ね返す。
0x009d78cc メタルミラー　　魔法の力で敵の攻撃を跳ね返す。
0x009d78fc プラチナミラー　魔法の力で敵の攻撃を跳ね返す。
0x009d792c ミスリルミラー　魔法の力で敵の攻撃を跳ね返す。
0x009d795c ゴールドミラー　魔法の力で敵の攻撃を跳ね返す。

0x009d7ad0 時間無敵！！
0x009d7ade ヘルメット　　個一定時間上空からの攻撃を防ぐことができる。
0x009d7b1a スパイクブーツ　氷の上でも滑らない。
0x009d7b40 石靴　　　　　　トゲの上でも平気で歩ける。ただしジャンプ力下がる
0x009d7b82 ツルハシ
0x009d7b94 ダガー　　　　　投げナイフ。
0x009d7bb2 ブーメラン　　　回転しながら手元にもどってくる、武器。
0x009d7bea オレンジ　　　　体力が２０回復する。
0x009d7c10 チェリー　　　　体力が５０回復する。
0x009d7c36 リンゴ　　　　　体力が完全回復する。
0x009d7c5c 金塊
0x009d7c6e エリクサー　　　復活剤。
0x009d7c88 ブーメランＤＸ　ブーメランのパワーアップ型。

0x009ee3c0 ショートソード　軽量で扱いやすい剣。しかし、殺傷能力は低い。
0x009ee3fe ロングソード　　長さ１ｍほどの長剣。化物の多い洞窟内では必需品。
0x009ee440 ファルシオン　　鋼鉄でできた大きめの剣。攻撃力はなかなかのもの。
0x009ee482 フレイムソード　炎でつくられた剣その使いやすさと殺傷能力は保証付
0x009ee4c4 ライトソード　　現存する剣の中で最強を誇る剣。
0x009ee4f4 ファイアの魔法　進行方向へ連射できる。どんな場所でも有効である。
0x009ee536 ファイア　ＤＸ　ファイアの魔法が３つに分裂する。
0x009ee568 サンダーの魔法　雷の槍が敵を　貫通
0x009ee58c ホーミング　　　最高６個の弾が敵を追う。ただし効かない敵もいる。
0x009ee5ce フォース　　　　自らの魔力を弾にして敵に放つ。
0x009ee5fe ファイアボール　体内にためた炎を吹き出す。
0x009ee62a テイルアタック　強力な回転と尻尾で敵に大きなダメージをあたえる。
0x009ee66c アックス　　　　敵を一刀両断に　切り裂く強力な　武器。
0x009ee6a4 アイアンクロー　鋭い爪で敵を切り刻む。
0x009ee6cc ファイアブレス　体内にためた力を一気に放つ。　　威力絶大
0x009ee706 レザーアーマー　馬の革を何枚も重ねてある。　　　防御能力は低い。
0x009ee748 チェーンメイル　鎖で編まれていて丈夫にできている役にたつだろう。
0x009ee78a プレートメイル　鋼鉄でできてるので重いが多少の攻撃なら充分戦える
0x009ee7cc ミスリルアーマー数多くの敵と闘うにはこれくらいの鎧は必要である。
0x009ee80e ゴールドアーマー現代の技術では最高の強度を持つ鎧である。
0x009ee848 レッドローブ　　魔法使いのマント
0x009ee86a ブルーローブ　　魔法使いのマント
0x009ee88c イエローローブ　魔法使いのマント
0x009ee8ae シルバーローブ　魔法使いのマント
0x009ee8d0 ゴールドローブ　魔法使いのマント

0x009eea50 御能力は低い。
0x009eea60 スモールシールドウッドシールドより少し小さいがなかなか丈夫である
0x009eeaa2 ラージシールド　スモールシールドと同じ材質の少し大きめの盾。
0x009eeae0 ミスリルシールドこの盾は敵の攻撃を防ぐには充分な効力を持っている
0x009eeb22 ゴールドシールドこの盾は最強の盾といえるだろう。
0x009eeb54 ブロンズミラー　魔法の力で敵の攻撃を跳ね返す。
0x009eeb84 メタルミラー　　魔法の力で敵の攻撃を跳ね返す。
0x009eebb4 プラチナミラー　魔法の力で敵の攻撃を跳ね返す。
0x009eebe4 ミスリルミラー　魔法の力で敵の攻撃を跳ね返す。
0x009eec14 ゴールドミラー　魔法の力で敵の攻撃を跳ね返す。
0x009eec44 無敵　　　　　　一定時間無敵！！
0x009eec66 ヘルメット　　　一定時間上空からの攻撃を防ぐことができる。
0x009eeca2 スパイクブーツ　氷の上でも滑らない。
0x009eecc8 石靴　　　　　　トゲの上でも平気で歩ける。ただしジャンプ力下がる
0x009eed0a ツルハシ
0x009eed1c ダガー　　　　　投げナイフ。
0x009eed3a ブーメラン　　　回転しながら手元にもどってくる、武器。
0x009eed72 オレンジ　　　　体力が２０回復する。
0x009eed98 チェリー　　　　体力が５０回復する。
0x009eedbe リンゴ　　　　　体力が完全回復する。
0x009eede4 金塊
0x009eedf6 エリクサー　　　復活剤。
0x009eee10 ブーメランＤＸ　ブーメランのパワーアップ型。

0x009f01e9 アイアンソード
0x009f01fa プラズマブレードPウォータービームPロッククラッシュ@アイアンアーマー
0x009f023e プラズマアーマーPアクアローブ　　Pバトルアーマー　@アイアンシールド

0x00a09a39 薬をお持ちに　　なりますか？
0x00a09a5a いる
0x00a09a61 いらない
0x00a09a6b もっとお持ちに　なりますか？
0x00a09a8c いる
0x00a09a93 いらない
0x00a09a9d どれをさしあげましょうか？
0x00a09ab9 　でよろしい　　　　　　ですか？
0x00a09ada 　ＹＥＳ
0x00a09ae6 ＮＯ
0x00a09aec あなたはそのアイテムをこれ以上持てません。
0x00a09b18 お金が足りません
0x00a09b2c はいどうぞ
0x00a09b38 何を売っていただけますか？
0x00a09b54 になります。
0x00a09b65 　ＹＥＳ
0x00a09b71 ＮＯ
0x00a09b77 これ以上　売れるものがありません

0x00a20d26 番兵
0x00a20d30 セレイガ
0x00a20d41 ん！？　あー。びっくりしたガウなぁ。あれが、魔神ガウか。
0x00a20d7a 初めて見たガウ。
0x00a20d8d ここが幻影世界ガウか、
0x00a20da4 何とかして元の世界へ
0x00a20db9 戻らないと、いけないガウ。
0x00a20dd7 メイル、どこ行ってたガウ。
0x00a20df2 さっきは、驚いたガウなー。
0x00a20e0d 突然、変なのがあらわれたガウ
0x00a20e2a もんな。
0x00a20e33 メイル、大丈夫だったガウか？
0x00a20e51 なーに、この変なの
0x00a20e65 タット、大丈夫だったガウか？
0x00a20e83 さぁ、知らないよこんな
0x00a20e9a ヌイグルミ
0x00a20ea6 メイル、一緒に氷山に行こうガウ
0x00a20ec6 氷山？　何よそれ？
0x00a20eda タットも一緒に行って、
0x00a20ef1 クリスタルを探そうガウ
0x00a20f09 クリスタルだって、何言ってんだコイツ
0x00a20f2f さぁ、早く行こうガウ
0x00a20f45 あんた何言ってんのよ。
0x00a20f5c ここには、氷山なんて物は
0x00a20f75 無いわよ。
0x00a20f81 そんなことないガウ！
0x00a20f97 クリスタルってのも無いぜ。
0x00a20fb3 そんなこと無いガウ。
0x00a20fc8 長老が、氷山にあるって教えて
0x00a20fe5 くれたじゃないガウか。
0x00a20ffc それに、メイルもタットもガウと一緒に氷山に行こうとしてたじゃないガウか。
0x00a21046 ちょっと、待ちなよ。
0x00a2105b お前、一体誰なんだ。
0x00a21070 見たところ人間じゃなさそう
0x00a2108b だけど
0x00a21093 タット、何言ってるガウ。
0x00a210ac オレは、ガウだガウ。
0x00a210c1 忘れるなガウ。
0x00a210d1 ガウ〜？
0x00a210da ねぇねぇ、コイツ、
0x00a210ed ガウだってよ！？
0x00a210ff タット…、
0x00a2110a ガウのこと忘れちゃったガウか？
0x00a2112a 何それ、こんなのほっといて、
0x00a21147 行こう行こう
0x00a21155 アッ、ま、待つガウ！
0x00a2116a メイルー！！　タットー！！
0x00a212d1 なかったガウか？
0x00a212e2 変ガウなぁ？
0x00a212fa t｣よう、まぁるいの！
0x00a2130f この辺りじゃ見かけない顔だね。
0x00a2132f オレは、まぁるいのじゃない
0x00a2134a ガウ。　ガウだガウ！
0x00a2135f ベルクフリトってヤツの、魔力で来ちゃったガウ。
0x00a2138f t｣ベルクフリトだって！
0x00a213a6 それは、俺たちの世界にやって
0x00a213c3 来たヤツと同じだな。
0x00a213d8 ここはバウロの村って言うん
0x00a213f3 だけど、この先にある塔に行って見るといいよ。"
0x00a21424 t｣ベルクフリトだって！
0x00a2143b それは、俺たちの世界にやって
0x00a21458 来たヤツと同じだな。
0x00a2146d それだったら、この先の塔に
0x00a21488 行って見るといいよ。
0x00a2149d 何かわかるかもしれないよ。
0x00a214b9 t｣ガウ、何か、わかったかい？
0x00a214e1 |｣あら、あなたヌイグルミなんて
0x00a21500 着てて、熱くないの？
0x00a21516 ヌイグルミじゃないガウ！
0x00a2152f 俺は怪獣だガウ！
0x00a21541 |｣怪獣？
0x00a2154a それじゃ、あなたは別の世界から来たのね。
0x00a21574 そうガウ！
0x00a2157f ベルクフリトってヤツの、魔力で来ちゃったガウ。
0x00a215ae 何とかして、ここから元の世界へ帰りたいガウ。
0x00a215db オマエ、ガウのいた世界へ
